trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
797,False,"{'a': 0.001, 'e': 0.6988556392139224}",20,0,3.6471917059919705,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
798,False,"{'a': 0.001, 'e': 0.6981400271595356}",25,17,-10.913216295216706,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
799,False,"{'a': 0.001, 'e': 0.6974237169651799}",25,0,-53.79349152452253,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
800,False,"{'a': 0.001, 'e': 0.6967067093471654}",30,22,-13.384008464292238,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
801,False,"{'a': 0.001, 'e': 0.6959890050224995}",25,7,-34.43512983263983,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
802,False,"{'a': 0.001, 'e': 0.6952706047088867}",25,0,-133.77888833324366,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
803,False,"{'a': 0.001, 'e': 0.6945515091247271}",25,0,-191.06732244625667,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
804,False,"{'a': 0.001, 'e': 0.6938317189891162}",30,0,-89.15148159602526,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
805,False,"{'a': 0.001, 'e': 0.6931112350218442}",30,0,-160.07379867559575,"{0: 22, 1: 0, 2: 3, 3: 2, 4: 3}",0
806,False,"{'a': 0.001, 'e': 0.6923900579433949}",20,0,-119.20155015237566,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 2}",0
807,False,"{'a': 0.001, 'e': 0.6916681884749454}",30,20,5.828374056131499,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.001, 'e': 0.690945627338365}",30,0,-95.18095318911442,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
809,False,"{'a': 0.001, 'e': 0.6902223752562149}",25,0,-24.659362940885472,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
810,False,"{'a': 0.001, 'e': 0.689498432951747}",25,0,-139.4730432004752,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
811,False,"{'a': 0.001, 'e': 0.6887738011489036}",20,0,-81.53841760208019,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
812,False,"{'a': 0.001, 'e': 0.6880484805723165}",20,1,-79.1727166631794,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
813,False,"{'a': 0.001, 'e': 0.6873224719473061}",25,0,-160.4024891755532,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
814,False,"{'a': 0.001, 'e': 0.6865957759998811}",20,0,-224.21461939671156,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 6}",0
815,False,"{'a': 0.001, 'e': 0.6858683934567373}",25,0,-114.62126329342388,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
816,False,"{'a': 0.001, 'e': 0.6851403250452572}",20,0,-27.214001487290655,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
817,False,"{'a': 0.001, 'e': 0.6844115714935092}",35,0,-170.02405907041347,"{0: 24, 1: 0, 2: 8, 3: 0, 4: 3}",0
818,False,"{'a': 0.001, 'e': 0.6836821335302466}",30,0,-73.77027714720127,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",0
819,False,"{'a': 0.001, 'e': 0.6829520118849075}",30,18,-5.202779903216452,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
820,False,"{'a': 0.001, 'e': 0.6822212072876135}",20,0,-44.557783857211035,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
821,False,"{'a': 0.001, 'e': 0.681489720469169}",30,17,-51.38114728017539,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
822,False,"{'a': 0.001, 'e': 0.6807575521610608}",20,8,-51.86242693105191,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
823,False,"{'a': 0.001, 'e': 0.6800247030954573}",25,0,-81.97669606977763,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
824,False,"{'a': 0.001, 'e': 0.6792911740052072}",20,0,-27.458649363323563,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
825,False,"{'a': 0.001, 'e': 0.6785569656238398}",20,0,10.282111615430834,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
826,False,"{'a': 0.001, 'e': 0.6778220786855633}",20,10,-35.5636276212682,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
827,False,"{'a': 0.001, 'e': 0.6770865139252646}",20,0,-89.13417329714932,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
